TransactionID,Items
1,"Desktop, Printer, Flash, Office, Speakers, Antivirus"
2,"Laptop, Flash, Office, Case, Antivirus"
3,"Laptop, Printer, Flash, Office, Antivirus, Case, Harddrive"
4,"Laptop, Printer, Flash, Antivirus, Harddrive, Case"
5,"Laptop, Flash, Case, Antivirus"
6,"Laptop, Printer, Flash, Office"
7,"Desktop, Printer, Flash, Office"
8,"Laptop, Harddrive, Antivirus"
9,"Desktop, Printer, Flash, Office, Case, Antivirus, Speakers, Harddrive"
10,"Camera, Laptop, Desktop, Printer, Flash, Office, Case, Antivirus, Harddrive, Speakers"
11,"Laptop, Desktop, Case, Harddrive, Speakers, Antivirus"
12,"Camera, Laptop, Case, Harddrive, Antivirus, Speakers"
13,"Camera, Speakers"
14,"Camera, Desktop, Printer, Flash, Office"
15,"Printer, Flash, Office, Antivirus, Case, Speakers, Harddrive"
16,"Camera, Flash, Office, Antivirus, Case, Harddrive, Speakers"
17,"Camera, Laptop, Case"
18,"Camera, Case, Speakers"
19,"Camera, Laptop, Printer, Flash, Office, Speakers, Case, Antivirus"
20,"Camera, Laptop, Speakers, Antivirus, Case"
21,"Desktop, Flash, Harddrive, Antivirus"
22,"Laptop, Speakers, Office, Printer"
23,"Case, Harddrive, Camera, Laptop"
24,"Printer, Antivirus, Desktop, Speakers"
25,"Flash, Case, Laptop, Camera"
