TransactionID,Items
1,"Groceries, Shoes, Clothes, Utensils, Furniture"
2,"Toys, Bedding, shampoo, Furniture, Groceries"
3,"Clothes, Groceries, Shoes, Utensils"
4,"Toys, shampoo, Shoes, Furniture, Clothes"
5,"Groceries, Bedding, Utensils, Shoes"
6,"Furniture, Groceries, shampoo, Clothes"
7,"Toys, Shoes, Bedding, Furniture"
8,"shampoo, Groceries, Shoes, Clothes"
9,"Toys, Groceries, Shoes, Clothes"
10,"Bedding, Utensils, Furniture, Groceries"
11,"shampoo, Clothes, Shoes, Bedding"
12,"Groceries, Furniture, Shoes, Utensils"
13,"Toys, shampoo, Groceries, Clothes"
14,"Bedding, Utensils, Clothes, Shoes"
15,"Groceries, Shoes, shampoo, Clothes"
16,"Toys, Furniture, Bedding, Groceries"
17,"Utensils, Clothes, Furniture, Shoes"
18,"Groceries, shampoo, Furniture, Shoes"
19,"Clothes, Shoes, Groceries, shampoo"
20,"Bedding, Groceries, Utensils, Shoes"
21,"Toys, shampoo, Clothes, Furniture"
22,"Shoes, Groceries, Utensils, shampoo"
23,"Furniture, Clothes, Shoes, Groceries"
24,"Bedding, Furniture, Clothes, Utensils"
25,"Toys, Shoes, Groceries, Furniture"
