TransactionID,Items
1,"Electronics, Furniture, Groceries, Sporting, Office"
2,"Clothes, Groceries, Shoes, Sporting, Toys"
3,"Office, Electronics, Sporting, Furniture"
4,"Groceries, Electronics, Furniture, Shoes, Office"
5,"Sporting, Toys, Groceries, Furniture"
6,"Electronics, Groceries, Shoes, Sporting"
7,"Furniture, Office, Clothes, Shoes"
8,"Electronics, Sporting, Groceries, Office"
9,"Groceries, Sporting, Clothes, Toys"
10,"Electronics, Sporting, Office, Shoes"
11,"Clothes, Groceries, Furniture, Sporting"
12,"Office, Electronics, Furniture, Shoes"
13,"Toys, Sporting, Groceries, Electronics"
14,"Groceries, Clothes, Sporting, Toys"
15,"Shoes, Furniture, Office, Sporting"
16,"Groceries, Electronics, Clothes, Shoes"
17,"Toys, Electronics, Furniture, Sporting"
18,"Clothes, Groceries, Shoes, Toys"
19,"Office, Furniture, Electronics, Shoes"
20,"Sporting, Electronics, Clothes, Groceries"
21,"Shoes, Sporting, Electronics, Office"
22,"Furniture, Clothes, Toys, Groceries"
23,"Electronics, Sporting, Office, Shoes"
24,"Clothes, Groceries, Furniture, Toys"
25,"Office, Shoes, Electronics, Sporting"
